,month,day,dow,time,crime_code,street
0,8,29,4,22,3,2
1,8,29,4,22,3,3
2,8,29,4,22,4,1
3,8,29,4,22,4,0
4,8,29,4,22,6,0
5,8,29,4,22,3,2
6,8,29,4,22,4,1
7,8,29,4,22,1,3
8,8,29,4,21,3,3
9,8,29,4,21,3,1
10,8,29,4,21,0,1
11,8,29,4,21,4,0
12,8,29,4,21,4,3
13,8,29,4,21,6,2
14,8,29,4,21,3,3
15,8,29,4,21,1,2
16,8,29,4,21,4,0
17,8,29,4,21,6,3
18,8,29,4,20,4,3
19,8,29,4,20,4,0
20,8,29,4,20,4,2
21,8,29,4,20,6,3
22,8,29,4,20,3,2
23,8,29,4,20,1,0
24,8,29,4,20,1,2
25,8,29,4,20,1,1
26,8,29,4,20,1,0
27,8,29,4,20,1,1
28,8,29,4,19,1,0
29,8,29,4,19,0,1
30,8,29,4,19,0,1
31,8,29,4,19,6,3
32,8,29,4,19,1,0
33,8,29,4,19,0,1
34,8,29,4,18,6,1
35,8,29,4,18,1,2
36,8,29,4,18,3,3
37,8,29,4,18,4,1
38,8,29,4,18,4,2
39,8,29,4,18,3,3
40,8,29,4,18,3,0
41,8,29,4,18,0,1
42,8,29,4,18,4,2
43,8,29,4,18,1,1
44,8,29,4,17,1,0
45,8,29,4,17,3,3
46,8,29,4,17,4,0
47,8,29,4,17,4,3
48,8,29,4,17,1,1
49,8,29,4,17,2,0
50,8,29,4,17,1,0
51,8,29,4,17,3,3
52,8,29,4,17,1,1
53,8,29,4,17,1,0
54,8,29,4,17,1,1
55,8,29,4,17,1,1
56,8,29,4,17,6,2
57,8,29,4,17,1,2
58,8,29,4,17,1,2
59,8,29,4,17,1,3
60,8,29,4,16,0,2
61,8,29,4,16,4,2
62,8,29,4,16,1,1
63,8,29,4,16,6,0
64,8,29,4,16,3,1
65,8,29,4,16,3,3
66,8,29,4,16,1,2
67,8,29,4,16,4,3
68,8,29,4,16,1,0
69,8,29,4,16,6,0
70,8,29,4,16,4,0
71,8,29,4,16,1,1
72,8,29,4,15,4,3
73,8,29,4,15,6,2
74,8,29,4,15,4,2
75,8,29,4,15,4,1
76,8,29,4,15,4,0
77,8,29,4,15,6,1
78,8,29,4,15,4,0
79,8,29,4,14,4,3
80,8,29,4,14,4,1
81,8,29,4,14,1,1
82,8,29,4,14,1,0
83,8,29,4,14,1,3
84,8,29,4,14,2,1
85,8,29,4,14,4,3
86,8,29,4,14,4,3
87,8,29,4,14,1,0
88,8,29,4,14,1,0
89,8,29,4,14,4,3
90,8,29,4,14,1,2
91,8,29,4,14,6,2
92,8,29,4,14,1,1
93,8,29,4,14,1,0
94,8,29,4,14,4,2
95,8,29,4,14,1,2
96,8,23,5,20,5,2
97,8,29,4,14,4,3
98,8,29,4,14,4,1
99,8,29,4,14,4,3
100,8,29,4,13,1,0
101,8,29,4,13,1,0
102,8,29,4,13,4,1
103,8,29,4,13,1,3
104,8,29,4,13,1,3
105,8,29,4,13,1,1
106,8,29,4,13,1,1
107,8,29,4,13,2,0
108,8,29,4,13,6,1
109,8,29,4,13,4,3
110,8,29,4,12,1,1
111,8,29,4,12,1,0
112,8,29,4,12,1,1
113,8,29,4,12,6,3
114,8,29,4,12,1,1
115,8,29,4,12,4,1
116,8,29,4,12,1,3
117,8,29,4,12,4,1
118,8,29,4,11,4,1
119,8,29,4,11,6,0
120,8,29,4,11,4,3
121,8,29,4,11,1,0
122,8,29,4,11,6,2
123,8,3,6,1,5,1
124,8,29,4,11,3,1
125,8,29,4,10,1,1
126,8,29,4,10,0,1
127,8,29,4,10,0,1
128,8,29,4,10,4,2
129,8,29,4,10,1,0
130,8,29,4,10,1,2
131,8,29,4,10,1,2
132,8,28,3,15,4,1
133,8,29,4,9,1,0
134,8,29,4,9,1,1
135,8,29,4,9,6,0
136,8,29,4,9,3,3
137,8,29,4,9,4,0
138,8,29,4,9,0,3
139,8,29,4,9,4,2
140,8,29,4,8,5,1
141,8,29,4,8,1,0
142,8,29,4,8,1,0
143,8,29,4,8,4,1
144,8,29,4,7,1,2
145,8,29,4,7,3,3
146,8,29,4,7,6,3
147,8,29,4,6,1,1
148,8,29,4,6,4,1
149,8,29,4,5,3,0
150,8,29,4,5,6,0
151,8,29,4,5,4,0
152,8,29,4,5,4,3
153,8,29,4,4,1,2
154,8,29,4,4,0,3
155,8,29,4,4,1,1
156,8,29,4,4,4,0
157,8,29,4,4,1,1
158,8,29,4,3,4,1
159,8,29,4,3,1,0
160,8,29,4,3,1,0
161,8,29,4,3,1,3
162,8,29,4,3,1,3
163,8,29,4,2,6,3
164,8,29,4,2,4,3
165,8,29,4,2,6,1
166,8,29,4,2,3,2
